no,item_name,item_id,item_name_db,sku,pricing_mode,availability_price_type,region_id,outlet_id,item_prices_price,suggested_sell_gr_plus_12,cost_large_last,gr_number,gr_receive_date,po_number,po_price,po_unit,price_reason,is_picked_by_resolver
45,"Skewer Rotan Simpul",52510,"Skewer Rotan Simpul",GC-20250620-1018,auto,all,,,50500.00,50500.00,45000.00,GR-20260708-0039,2026-07-08,POF26070302,45000.00,Pack,"Auto GR+12% — HPP large Rp 45.000 dari GR-20260708-0039 (2026-07-08); referensi PO POF26070302 harga beli Rp 45.000/Pack",yes
46,"Soda Water",52433,"Soda Water",GC-20250620-5511,auto,all,,,35300.00,35300.00,31500.00,GR-20260702-0011,2026-07-02,POF26061347,31500.00,Box,"Auto GR+12% — HPP large Rp 31.500 dari GR-20260702-0011 (2026-07-02); referensi PO POF26061347 harga beli Rp 31.500/Box",yes
47,Soun,52499,Soun,GC-20250620-7326,auto,all,,,6800.00,6800.00,6000.00,GR-20260705-0001,2026-07-05,POF26070218,6000.00,Pack,"Auto GR+12% — HPP large Rp 6.000 dari GR-20260705-0001 (2026-07-05); referensi PO POF26070218 harga beli Rp 6.000/Pack",yes
48,Sunquick,52436,Sunquick,GC-20250620-9758,auto,all,,,168100.00,168100.00,150000.00,GR-20260705-0001,2026-07-05,POF26070218,150000.00,Botol,"Auto GR+12% — HPP large Rp 150.000 dari GR-20260705-0001 (2026-07-05); referensi PO POF26070218 harga beli Rp 150.000/Botol",yes
49,"Syrup Gula Aren",52367,"Syrup Gula Aren",GC-20250620-5921,auto,all,,,72800.00,72800.00,65000.00,GR-20260708-0032,2026-07-08,POF26070323,65000.00,Botol,"Auto GR+12% — HPP large Rp 65.000 dari GR-20260708-0032 (2026-07-08); referensi PO POF26070323 harga beli Rp 65.000/Botol",yes
50,"Syrup Kawista",52468,"Syrup Kawista",GC-20250919-2584,auto,all,,,60500.00,60500.00,54000.00,GR-20260706-0051,2026-07-06,POF26070276,54000.00,Botol,"Auto GR+12% — HPP large Rp 54.000 dari GR-20260706-0051 (2026-07-06); referensi PO POF26070276 harga beli Rp 54.000/Botol",yes
51,"Syrup Mint",52399,"Syrup Mint",GC-20250620-2292,auto,all,,,123300.00,123300.00,110000.00,GR-20260702-0010,2026-07-02,POF26061335,110000.00,Botol,"Auto GR+12% — HPP large Rp 110.000 dari GR-20260702-0010 (2026-07-02); referensi PO POF26061335 harga beli Rp 110.000/Botol",yes
52,"Tabasco Sauce",52437,"Tabasco Sauce",GC-20250620-3056,auto,all,,,47100.00,47100.00,42000.00,GR-20260706-0022,2026-07-06,POF26070184,42000.00,Botol,"Auto GR+12% — HPP large Rp 42.000 dari GR-20260706-0022 (2026-07-06); referensi PO POF26070184 harga beli Rp 42.000/Botol",yes
53,"Teh Celup",52443,"Teh Celup",GC-20250620-6711,auto,all,,,56700.00,56700.00,50550.00,GR-20260706-0022,2026-07-06,POF26070184,50550.00,Pack,"Auto GR+12% — HPP large Rp 50.550 dari GR-20260706-0022 (2026-07-06); referensi PO POF26070184 harga beli Rp 50.550/Pack",yes
54,"Tepung Easy Mix",52444,"Tepung Easy Mix",GC-20250620-8983,auto,all,,,35300.00,35300.00,31500.00,GR-20260706-0024,2026-07-06,POF26070179,31500.00,Pack,"Auto GR+12% — HPP large Rp 31.500 dari GR-20260706-0024 (2026-07-06); referensi PO POF26070179 harga beli Rp 31.500/Pack",yes
55,"Tepung Roti Kasar",52447,"Tepung Roti Kasar",GC-20250620-8148,auto,all,,,22200.00,22200.00,19800.00,GR-20260708-0031,2026-07-08,POF26070311,19800.00,Kilogram,"Auto GR+12% — HPP large Rp 19.800 dari GR-20260708-0031 (2026-07-08); referensi PO POF26070311 harga beli Rp 19.800/Kilogram",yes
56,Thyme,52655,Thyme,GC-20250620-8119,auto,all,,,268800.00,268800.00,240000.00,GR-20260701-0046,2026-07-01,POF26061358,240000.00,Kilogram,"Auto GR+12% — HPP large Rp 240.000 dari GR-20260701-0046 (2026-07-01); referensi PO POF26061358 harga beli Rp 240.000/Kilogram",yes
57,"Tissue Dinner",52815,"Tissue Dinner",GC-20260626-9048,auto,all,,,8900.00,8900.00,7882.00,GR-20260706-0001,2026-07-06,POF26070185,7882.00,Pack,"Auto GR+12% — HPP large Rp 7.882 dari GR-20260706-0001 (2026-07-06); referensi PO POF26070185 harga beli Rp 7.882/Pack",yes
58,"Tissue Pop Up",52817,"Tissue Pop Up",GC-20260415-5235,auto,all,,,29600.00,29600.00,26383.00,GR-20260706-0038,2026-07-06,POF26070183,26383.00,Pack,"Auto GR+12% — HPP large Rp 26.383 dari GR-20260706-0038 (2026-07-06); referensi PO POF26070183 harga beli Rp 26.383/Pack",yes
59,"Tissue Roll",52818,"Tissue Roll",GC-20260501-8570,auto,all,,,16200.00,16200.00,14451.00,GR-20260706-0038,2026-07-06,POF26070183,14451.00,Pcs,"Auto GR+12% — HPP large Rp 14.451 dari GR-20260706-0038 (2026-07-06); referensi PO POF26070183 harga beli Rp 14.451/Pcs",yes
60,"Tissue Towel",52819,"Tissue Towel",GC-20260424-9116,auto,all,,,6500.00,6500.00,5748.00,GR-20260707-0025,2026-07-07,POF26070327,5748.00,Pack,"Auto GR+12% — HPP large Rp 5.748 dari GR-20260707-0025 (2026-07-07); referensi PO POF26070327 harga beli Rp 5.748/Pack",yes
61,"Truffle Oil",52458,"Truffle Oil",GC-20260203-3626,auto,all,,,209900.00,209900.00,187404.00,GR-20260703-0005,2026-07-03,POF26061337,187404.00,Botol,"Auto GR+12% — HPP large Rp 187.404 dari GR-20260703-0005 (2026-07-03); referensi PO POF26061337 harga beli Rp 187.404/Botol",yes
62,Dishwash,52717,Dishwash,GC-20250620-4999,auto,all,,,30300.00,30300.00,27000.00,GR-20260708-0018,2026-07-08,POF26070316,27000.00,Galon,"Auto GR+12% — HPP large Rp 27.000 dari GR-20260708-0018 (2026-07-08); referensi PO POF26070316 harga beli Rp 27.000/Galon",yes
63,"General Cleaner",55709,"General Cleaner",GC-20260416-8411,auto,all,,,124400.00,124400.00,111000.00,GR-20260708-0045,2026-07-08,POF26070339,111000.00,Galon,"Auto GR+12% — HPP large Rp 111.000 dari GR-20260708-0045 (2026-07-08); referensi PO POF26070339 harga beli Rp 111.000/Galon",yes
64,Hairnet,52736,Hairnet,GC-20250620-6280,auto,all,,,44900.00,44900.00,40000.00,GR-20260708-0055,2026-07-08,POF26070319,40000.00,Pack,"Auto GR+12% — HPP large Rp 40.000 dari GR-20260708-0055 (2026-07-08); referensi PO POF26070319 harga beli Rp 40.000/Pack",yes
65,"Hands Glove Rubber",52732,"Hands Glove Rubber",GC-20260515-4131,auto,all,,,68400.00,68400.00,61000.00,GR-20260708-0042,2026-07-08,POF26070326,61000.00,Pack,"Auto GR+12% — HPP large Rp 61.000 dari GR-20260708-0042 (2026-07-08); referensi PO POF26070326 harga beli Rp 61.000/Pack",yes
66,"Masker 3 Ply",52733,"Masker 3 Ply",GC-20250620-3579,auto,all,,,29200.00,29200.00,26000.00,GR-20260701-0046,2026-07-01,POF26061358,26000.00,Pack,"Auto GR+12% — HPP large Rp 26.000 dari GR-20260701-0046 (2026-07-01); referensi PO POF26061358 harga beli Rp 26.000/Pack",yes
67,"HVS 1 Ply 75x65",54789,"HVS 1 Ply 75x65",GC-20260403-9291,auto,all,,,44900.00,44900.00,40000.00,GR-20260706-0025,2026-07-06,POF26070241,40000.00,Pack,"Auto GR+12% — HPP large Rp 40.000 dari GR-20260706-0025 (2026-07-06); referensi PO POF26070241 harga beli Rp 40.000/Pack",yes
68,"Label Preparation Roll",55500,"Label Preparation Roll",GC-20260212-6194,auto,all,,,168100.00,168100.00,150000.00,GR-20260701-0082,2026-07-01,POF26061363,150000.00,Roll,"Auto GR+12% — HPP large Rp 150.000 dari GR-20260701-0082 (2026-07-01); referensi PO POF26061363 harga beli Rp 150.000/Roll",yes
69,"Thermal Roll Steak house",52690,"Thermal Roll Steak house",GC-20250620-5902,auto,all,,,12700.00,12700.00,11300.00,GR-20260706-0025,2026-07-06,POF26070241,11300.00,Pcs,"Auto GR+12% — HPP large Rp 11.300 dari GR-20260706-0025 (2026-07-06); referensi PO POF26070241 harga beli Rp 11.300/Pcs",yes
