no,item_name,item_id,sku,outlet,warehouse,period_from,period_to,report_unit,report_qty,fo_price_stored,cost_implied_fo_div_112,matched_gr_number,matched_gr_date,matched_po_number,matched_po_price,matched_po_unit,matched_hpp_large,matched_sell_large,fo_tanggal_ref,match_method,price_reason
41,"Sauce Chilli Botol",52537,GC-20251021-8273,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,36.000,17400.00,15535.71,GR-20260602-0013,2026-06-02,POF26051448,15500.00,Botol,15500.00,17400.00,2026-06-02,sell_line≈fo_stored,"FO simpan Rp 17.400 = jual +12% dari GR GR-20260602-0013 (2026-06-02), PO POF26051448, beli Rp 15.500/Botol (HPP Rp 15.500). Angka ~15.536 di laporan = FO÷1,12."
42,"Sauce Cup",52791,GC-20250620-3126,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
43,"Sauce Cup Dessert",52852,GC-20250620-4363,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
44,"Sauce Tomat Botol",52538,GC-20251021-9672,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
45,"Skewer Rotan Simpul",52510,GC-20250620-1018,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,3.000,50500.00,45089.29,GR-20260521-0028,2026-05-21,POF26050899,450.00,Pcs,45000.00,50500.00,2026-06-04,sell_line≈fo_stored,"FO simpan Rp 50.500 = jual +12% dari GR GR-20260521-0028 (2026-05-21), PO POF26050899, beli Rp 450/Pcs (HPP Rp 45.000). Angka ~45.089 di laporan = FO÷1,12."
46,"Soda Water",52433,GC-20250620-5511,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Box,1.000,35300.00,31517.86,GR-20260603-0017,2026-06-03,POF26051465,31500.00,Box,31500.00,35300.00,2026-06-06,sell_line≈fo_stored,"FO simpan Rp 35.300 = jual +12% dari GR GR-20260603-0017 (2026-06-03), PO POF26051465, beli Rp 31.500/Box (HPP Rp 31.500). Angka ~31.518 di laporan = FO÷1,12."
47,Soun,52499,GC-20250620-7326,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,10.000,6800.00,6071.43,GR-20260609-0039,2026-06-09,POF26060398,6000.00,Pack,6000.00,6800.00,2026-06-10,sell_line≈fo_stored,"FO simpan Rp 6.800 = jual +12% dari GR GR-20260609-0039 (2026-06-09), PO POF26060398, beli Rp 6.000/Pack (HPP Rp 6.000). Angka ~6.071 di laporan = FO÷1,12."
48,Sunquick,52436,GC-20250620-9758,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,1.000,168000.00,150000.00,GR-20260524-0006,2026-05-24,POF26051116,150000.00,Botol,150000.00,168100.00,2026-05-31,cost_line≈fo÷1.12,"FO simpan Rp 168.000 = jual +12% dari GR GR-20260524-0006 (2026-05-24), PO POF26051116, beli Rp 150.000/Botol (HPP Rp 150.000). Angka ~150.000 di laporan = FO÷1,12."
49,"Syrup Gula Aren",52367,GC-20250620-5921,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,1.000,72800.00,65000.00,GR-20260602-0042,2026-06-02,POF26051475,65000.00,Botol,65000.00,72800.00,2026-06-02,sell_line≈fo_stored,"FO simpan Rp 72.800 = jual +12% dari GR GR-20260602-0042 (2026-06-02), PO POF26051475, beli Rp 65.000/Botol (HPP Rp 65.000). Angka ~65.000 di laporan = FO÷1,12."
50,"Syrup Kawista",52468,GC-20250919-2584,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,4.000,60500.00,54017.86,GR-20260611-0046,2026-06-11,POF26060418,54000.00,Botol,54000.00,60500.00,2026-06-12,sell_line≈fo_stored,"FO simpan Rp 60.500 = jual +12% dari GR GR-20260611-0046 (2026-06-11), PO POF26060418, beli Rp 54.000/Botol (HPP Rp 54.000). Angka ~54.018 di laporan = FO÷1,12."
