line_id,item_id,item_name,tanggal,order_number,status,outlet,unit,unit_tier,qty,current_price,expected_price,diff,price_large,medium_conv,small_conv,pricing_mode
12196475,54708,"Beef Patty",2026-06-12,RO-20260612-7967,packing,"Justus Steak House Dago",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12177670,54708,"Beef Patty",2026-06-12,RO-20260612-2D78,packing,"Justus Steak House Metro Indah Mall",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12181301,54708,"Beef Patty",2026-06-12,RO-20260612-0F42,packing,"Justus Steak House Festival Citylink",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12176700,54708,"Beef Patty",2026-06-12,RO-20260612-9640,packing,"ASIAN GRILL BEC",Pcs,small,25,200,9300,-9100,675587,73,1,manual
12178356,54708,"Beef Patty",2026-06-12,RO-20260612-622C,packing,"JUSTUS BEC",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12181744,54708,"Beef Patty",2026-06-12,RO-20260612-EF32,packing,"Justus Steak House Ciwalk",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12202631,54708,"Beef Patty",2026-06-12,RO-20260612-0DA9,packing,"Justus Steak House Miko Mall",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12253675,54708,"Beef Patty",2026-06-13,RO-20260613-7756,packing,"Justus Steakhouse Ampera - Kemang",Pcs,small,30,200,9300,-9100,675587,73,1,manual
12235335,54708,"Beef Patty",2026-06-13,RO-20260613-1ABF,packing,"Justus Steak House Metro Indah Mall",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12235601,54708,"Beef Patty",2026-06-13,RO-20260613-C97E,packing,"JUSTUS BEC",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12260813,54708,"Beef Patty",2026-06-13,RO-20260614-CB79,packing,"Justus Steak House Lebak Bulus",Pcs,small,15,200,9300,-9100,675587,73,1,manual
12249048,54708,"Beef Patty",2026-06-13,RO-20260613-602A,packing,"Justus Steak House Miko Mall",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12238046,54708,"Beef Patty",2026-06-13,RO-20260613-9FED,packing,"Melt Steak d'Botanica",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12239647,54708,"Beef Patty",2026-06-13,RO-20260613-D2F2,packing,"Justus Steak House Festival Citylink",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12235637,54708,"Beef Patty",2026-06-13,RO-20260613-5E34,packing,"JUSTUS FCL",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12238399,54708,"Beef Patty",2026-06-13,RO-20260613-36D9,packing,"Justus Steak House Ciwalk",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12234161,54708,"Beef Patty",2026-06-13,RO-20260613-F9A1,packing,"Justus Steakhouse SMB",Pcs,small,25,200,9300,-9100,675587,73,1,manual
12229230,54708,"Beef Patty",2026-06-13,RO-20260613-EC62,packing,"Justus Steak House Cimanuk",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12228674,54708,"Beef Patty",2026-06-13,RO-20260613-EF11,packing,"Justus Steak House Bintaro",Pcs,small,30,200,9300,-9100,675587,73,1,manual
12246234,54708,"Beef Patty",2026-06-13,RO-20260613-D95A,packing,"Justus Steak House Paris Van Java",Pcs,small,15,200,9300,-9100,675587,73,1,manual
12236853,54708,"Beef Patty",2026-06-13,RO-20260613-F86A,packing,"JUSTUS BIP",Pcs,small,20,200,9300,-9100,675587,73,1,manual
12277179,54708,"Beef Patty",2026-06-14,RO-20260614-CA52,packing,"Justus Steak House Ciwalk",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12259552,54708,"Beef Patty",2026-06-14,RO-20260614-518F,packing,"Justus Steak House Cipete",Pcs,small,25,200,9300,-9100,675587,73,1,manual
12283111,54708,"Beef Patty",2026-06-14,RO-20260614-CCD1,packing,"Justus Steak House Festival Citylink",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12290400,54708,"Beef Patty",2026-06-14,RO-20260614-5AE5,packing,"Justus Steak House Buah Batu",Pcs,small,15,200,9300,-9100,675587,73,1,manual
12275693,54708,"Beef Patty",2026-06-14,RO-20260614-B462,packing,"Melt Steak d'Botanica",Pcs,small,15,200,9300,-9100,675587,73,1,manual
12267878,54708,"Beef Patty",2026-06-14,RO-20260614-0CC6,packing,"ASIAN GRILL BEC",Pcs,small,20,200,9300,-9100,675587,73,1,manual
12306085,54708,"Beef Patty",2026-06-14,RO-20260614-D63E,packing,"Justus Steak House Miko Mall",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12275274,54708,"Beef Patty",2026-06-14,RO-20260614-CF44,packing,"ASIAN GRILL BIP",Pcs,small,15,200,9300,-9100,675587,73,1,manual
12299650,54708,"Beef Patty",2026-06-14,RO-20260614-E9A6,packing,"Justus Steak House Dago",Pcs,small,25,200,9300,-9100,675587,73,1,manual
12268319,54708,"Beef Patty",2026-06-14,RO-20260614-5D0D,packing,"JUSTUS BEC",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12323371,54708,"Beef Patty",2026-06-14,RO-20260615-865A,packing,"Justus Steak House Bintaro",Pcs,small,35,200,9300,-9100,675587,73,1,manual
12270834,54708,"Beef Patty",2026-06-14,RO-20260614-50E7,packing,"JUSTUS FCL",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12274479,54708,"Beef Patty",2026-06-14,RO-20260614-B08B,packing,"Justus Steak House Jawa",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12277534,54708,"Beef Patty",2026-06-14,RO-20260614-7918,packing,"JUSTUS BIP",Pcs,small,15,200,9300,-9100,675587,73,1,manual
12282714,54708,"Beef Patty",2026-06-14,RO-20260614-6E45,packing,"Justus Steak House Cimanuk",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12270341,54708,"Beef Patty",2026-06-14,RO-20260614-239B,packing,"Justus Steak House Metro Indah Mall",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12296951,54708,"Beef Patty",2026-06-14,RO-20260614-84BC,packing,"Justus Steak House Paskal 23",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12349044,54708,"Beef Patty",2026-06-14,RO-20260615-E1AA,packing,"Justus Steak House Paris Van Java",Pcs,small,20,200,9300,-9100,675587,73,1,manual
12358922,54708,"Beef Patty",2026-06-15,RO-20260615-3ABE,packing,"Justus Steak House Paris Van Java",Pcs,small,15,200,9300,-9100,675587,73,1,manual
